hpt_advancedtorppylon_fixed_small,,I,
hpt_advancedtorppylon_fixed_medium,,I,
hpt_basicmissilerack_fixed_small,,B,
hpt_basicmissilerack_fixed_medium,,B,
hpt_beamlaser_fixed_small,,E,
hpt_beamlaser_fixed_medium,,D,
hpt_beamlaser_fixed_large,,C,
hpt_beamlaser_gimbal_small,,E,
hpt_beamlaser_gimbal_medium,,D,
hpt_beamlaser_gimbal_large,,C,
hpt_beamlaser_turret_small,,F,
hpt_beamlaser_turret_medium,,E,
hpt_beamlaser_turret_large,,D,
hpt_cannon_fixed_small,,D,
hpt_cannon_fixed_medium,,D,
hpt_cannon_fixed_large,,C,
hpt_cannon_fixed_huge,,B,
hpt_cannon_gimbal_small,,E,
hpt_cannon_gimbal_medium,,D,
hpt_cannon_gimbal_large,,C,
hpt_cannon_gimbal_huge,,B,
hpt_cannon_turret_small,,F,
hpt_cannon_turret_medium,,E,
hpt_cannon_turret_large,,D,
hpt_drunkmissilerack_fixed_medium,,B,
hpt_dumbfiremissilerack_fixed_small,,B,
hpt_dumbfiremissilerack_fixed_medium,,B,
hpt_minelauncher_fixed_small,,I,
hpt_minelauncher_fixed_medium,,I,
hpt_mininglaser_fixed_small,,D,
hpt_mininglaser_fixed_medium,,D,
hpt_multicannon_fixed_small,,F,
hpt_multicannon_fixed_medium,,E,
hpt_multicannon_gimbal_small,,G,
hpt_multicannon_gimbal_medium,,F,
hpt_multicannon_turret_small,,G,
hpt_multicannon_turret_medium,,F,
hpt_plasmaaccelerator_fixed_medium,,C,
hpt_plasmaaccelerator_fixed_large,,B,
hpt_plasmaaccelerator_fixed_huge,,A,
hpt_pulselaser_fixed_small,,F,
hpt_pulselaser_fixed_medium,,E,
hpt_pulselaser_fixed_large,,D,
hpt_pulselaser_gimbal_small,,G,
hpt_pulselaser_gimbal_medium,,F,
hpt_pulselaser_gimbal_large,,E,
hpt_pulselaser_turret_small,,G,
hpt_pulselaser_turret_medium,,F,
hpt_pulselaser_turret_large,,F,
hpt_pulselaserburst_fixed_small,,F,
hpt_pulselaserburst_fixed_medium,,E,
hpt_pulselaserburst_fixed_large,,D,
hpt_pulselaserburst_gimbal_small,,G,
hpt_pulselaserburst_gimbal_medium,,F,
hpt_pulselaserburst_gimbal_large,,E,
hpt_pulselaserburst_turret_small,,G,
hpt_pulselaserburst_turret_medium,,F,
hpt_pulselaserburst_turret_large,,E,
hpt_railgun_fixed_small,,D,
hpt_railgun_fixed_medium,,B,
hpt_slugshot_fixed_small,,E,
hpt_slugshot_fixed_medium,,A,
hpt_slugshot_fixed_large,,C,
hpt_slugshot_gimbal_small,,E,
hpt_slugshot_gimbal_medium,,D,
hpt_slugshot_gimbal_large,,C,
hpt_slugshot_turret_small,,E,
hpt_slugshot_turret_medium,,D,
hpt_slugshot_turret_large,,C,
